10
94,937	34,878	-94,434	-90,494	-38,059	27,289	20,595	-57,446	-40,089	-90,382	
-71,338	33,359	-9,938	-14,065	97,193	-54,360	-37,343	76,161	50,420	-41,725	
77,451	38,117	76,505	71,490	-47,995	55,159	24,121	54,928	-29,036	5,730	
-32,809	88,394	-95,394	26,613	-55,263	19,691	76,394	-16,489	67,429	43,846	
-53,025	-29,495	23,196	94,175	-73,984	-25,747	11,352	27,985	-76,563	59,291	
-11,992	-11,609	8,079	57,525	15,112	-71,448	-45,473	-21,948	71,271	-4,179	
27,738	-7,314	-95,406	90,641	80,354	98,061	-13,901	38,675	-81,015	6,970	
-43,187	44,535	-66,525	79,577	-47,499	31,616	-22,904	-30,581	37,034	-85,104	
35,800	-70,383	78,740	2,243	-68,868	1,452	-36,374	-25,402	-35,932	-9,485	
55,202	56,592	26,018	24,846	82,702	56,482	78,415	-14,973	-32,190	-72,032	
